code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000001,平安银行,0.7742,0.7742,0.3716,--,2.1974,97.8026
000002,万科A,1.7174,0.4237,22.3979,5084.2404,42.0718,57.9282
000004,国农科技,--,--,--,597.6962,54.3518,--
000005,世纪星源,--,--,--,774.2296,44.5244,--
000006,深振业A,1.7605,0.5154,41.8837,623.6403,45.6624,54.3376
000007,全新好,0.5277,0.2936,2.9977,40.7071,12.1295,87.8705
000008,神州高铁,7.186,7.186,174.8897,1515.6359,93.1901,6.8099
000009,中国宝安,1.2892,0.5338,21.5287,226.8336,33.9381,66.0619
000010,美丽生态,--,--,--,1.2927,16.4784,--
000011,深物业A,1.3661,0.374,17.3441,-201.9906,37.176,62.824
000012,南玻A,0.5069,0.3463,11.6083,512.5961,47.9839,52.0161
000014,沙河股份,2.1424,1.2627,45.0141,1821.6575,34.4033,65.5967
000016,深康佳A,1.4164,0.8255,11.0202,1636.4696,41.0302,58.9698
000017,深中华A,--,--,--,149.7646,-533.4804,--
000018,神州长城,1.1737,0.643,19.7814,-61.6265,59.6831,40.3169
000019,深深宝A,0.7248,0.5801,16.9028,180.897,57.6211,42.3789
000020,深华发A,0.8712,0.6513,14.3485,143.1233,62.0461,37.9539
000021,深科技,2.5264,2.3336,117.2238,-7139.7,70.7122,29.2878
000022,深赤湾A,0.4994,0.4726,11.9955,1939.455,71.281,28.719
000023,深天地A,0.8497,0.652,14.4701,-146.7885,23.7528,76.2472
000025,特力A,0.5592,0.3995,15.495,122.9089,31.0131,68.9869
000026,飞亚达A,3.378,0.8934,49.7977,816.5528,82.9804,17.0196
000027,深圳能源,--,--,--,2052.572,40.379,--
000028,国药一致,0.9873,0.7222,9.007,797.6071,20.2908,79.7092
000029,深深房A,1.6633,0.5407,36.3298,154.1846,43.5587,56.4413
000030,富奥股份,0.0084,0.0072,0.0003,2.3198,-4246.4396,4346.4396
000031,中粮地产,0.6756,0.1873,10.7067,632.3931,67.311,32.689
000032,深桑达A,1.6211,0.712,27.6255,2218.7819,51.3483,48.6517
000033,*ST新都,0.2504,0.2395,4.2966,164.8256,73.4344,26.5656
000034,神州数码,0.5807,0.4465,4.0577,-90.9983,-46.8416,146.8416
000035,中国天楹,0.0812,0.0781,0.1283,-16.5863,-343.3416,443.3416
000036,华联控股,0.7717,0.5414,34.5896,269.8992,26.6375,73.3625
000037,*ST南电A,0.6064,0.4286,6.9064,86.0157,35.0382,64.9618
000038,深大通,1.2168,1.2168,0.3943,-115.1878,35.4806,64.5194
000039,中集集团,1.6929,1.1531,37.5965,3952.8024,59.0759,40.9241
000040,东旭蓝天,1.0061,0.5937,17.5,-86.0319,44.3841,55.6159
000042,中洲控股,1.2194,0.8294,33.7277,134.2698,45.4049,54.5951
000043,中航地产,--,--,--,926.8937,24.0387,--
000045,深纺织A,1.1034,0.8169,25.5229,343.052,67.1013,32.8987
000046,泛海控股,2.3646,0.7854,22.9713,41945.4382,35.2502,64.7498
000048,康达尔,0.5372,0.286,6.3959,22.0354,12.1617,87.8383
000049,德赛电池,1.1868,0.9353,16.1586,721.9779,34.8162,65.1838
000050,深天马A,1.4778,1.0657,29.3363,396.5628,57.0381,42.9619
000055,方大集团,0.8833,0.7562,14.4796,157.1211,34.7486,65.2514
000056,皇庭国际,1.173,0.3612,26.5419,-432.8153,28.428,71.572
000058,深赛格,0.792,0.6849,25.0809,-362.297,49.3109,50.6891
000059,华锦股份,0.5165,0.3642,28.432,253.1627,39.472,60.528
000060,中金岭南,0.8109,0.356,22.6935,209.7794,33.3708,66.6292
000061,农产品,0.5886,0.3811,13.6728,223.2086,41.8787,58.1213
000062,深圳华强,1.4547,1.0553,28.1802,-1399.3746,58.3061,41.6939
000063,中兴通讯,1.8389,1.5263,34.2926,575.1541,49.9099,50.0901
000065,北方国际,1.8301,1.616,44.4892,576.5887,38.8937,61.1063
000066,中国长城,1.8436,1.521,69.3126,-9293.6569,65.8265,34.1735
000068,华控赛格,0.7127,0.4603,6.5661,-6.4588,50.8558,49.1442
000069,华侨城A,0.4972,0.1837,13.6683,1037.0466,52.1543,47.8457
000070,特发信息,1.8196,1.4001,52.2868,-197.632,61.3519,38.6481
000078,海王生物,--,--,--,227.7571,16.8005,--
000088,盐田港,8.6718,8.6466,518.9679,2355.6762,93.078,6.922
000089,深圳机场,2.4386,2.4352,173.2959,13745.2277,83.6846,16.3154
000090,天健集团,1.0751,0.42,15.9019,1361.7463,44.7433,55.2567
000096,广聚能源,3.0795,2.7044,170.8235,-2016.864,82.9916,17.0084
000099,中信海直,0.9469,0.6236,33.7053,376.1062,62.7025,37.2975
000100,TCL集团,1.1756,0.8239,26.0264,-556.7515,29.0653,70.9347
000150,宜华健康,2.7192,2.2185,13.203,-6533.7035,81.2996,18.7004
000151,中成股份,0.8814,0.6626,16.011,112.0123,31.5572,68.4428
000153,丰原药业,0.9099,0.7675,27.9847,220.3195,54.3584,45.6416
000155,*ST川化,1.0896,0.7811,62.0256,1215.2192,66.7198,33.2802
000156,华数传媒,0.3217,0.2878,0.7263,--,-67.2805,167.2805
