code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,19.05,32.72,40.7276,3637.419,1.1713,11113.953,3.5788
000002,万科A,8.46,10.01,30.2088,2957.5922,0.2689,29543.8385,2.6869
000004,国农科技,-3.58,-5.49,49.8485,-2.1185,-0.0252,38.5876,0.4595
000005,世纪星源,-1.58,-34.2,31.0186,-11.7218,-0.0128,34.2688,0.0374
000006,深振业A,9.21,27.78,55.3923,173.6892,0.3424,625.118,1.2325
000007,全新好,,55.44,78.6379,55.3132,0.299,99.7626,0.5393
000008,神州高铁,-0.11,-1.11,24.2468,-0.0865,-0.0011,7.726,0.1048
000009,中国宝安,10.19,8.4,33.3937,192.9611,0.1769,2297.1526,2.106
000010,美丽生态,15.32,7.03,37.9116,7.0199,0.0477,99.8294,0.679
000011,深物业A,21.93,21.12,53.2092,160.2817,0.2958,758.7851,1.4004
000012,南玻A,11.43,16.28,33.8821,577.6023,0.4719,3547.3296,2.8987
000014,沙河股份,15.3,14.75,52.8871,69.4823,0.3444,470.9928,2.335
000016,深康佳A,2.79,1.18,18.5351,106.6468,0.0885,9025.9778,7.4968
000017,深中华A,,-37.32,5.0078,-74.0489,-0.1544,198.4156,0.4138
000018,神州长城,-0.2,-1.29,-0.309,-0.2616,-0.0015,20.1766,0.1192
000019,深深宝A,1.57,3.81,25.426,5.3401,0.0293,139.9993,0.7695
000020,深华发A,3.91,2.72,14.4478,10.1052,0.0356,370.4753,1.3083
000021,深科技,4.68,1.9,3.6743,165.9251,0.1886,8690.5338,9.881
000022,深赤湾A,11.7,29.4,53.8349,322.6993,0.5004,1097.429,1.702
000023,深天地A,3.21,2.28,16.0682,9.4106,0.0678,411.1128,2.9628
000025,特力A,0.79,0.39,15.4296,1.3088,0.0059,327.4675,1.4865
000026,飞亚达A,6.86,5.39,33.0979,47.8185,0.1917,885.8167,3.5529
000027,深圳能源,13.67,22.14,25.0671,1745.576,0.7925,7882.3456,3.5788
000028,国药一致,18.64,1.83,8.3231,146.0411,0.5068,7980.0504,27.6941
000029,深深房A,0.92,2.48,24.4065,11.2695,0.0111,453.7884,0.4485
000030,富奥股份,,1252.61,100.0,17.4174,0.0603,1.3905,0.0048
000031,中粮地产,3.93,28.88,44.6784,127.8328,0.0704,442.6197,0.244
000032,深桑达A,2.65,2.4,15.9391,19.3083,0.0829,803.1803,3.4491
000033,*ST新都,-3.86,-25.87,42.613,-11.4575,-0.0347,44.2759,0.1344
