code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.056,8.0014,0.0593,
000002,万科A,-0.0757,-0.01,-0.5679,-0.0126,-1.4945
000004,国农科技,-0.0702,-0.0172,-0.9074,-0.0724,-7.3722
000005,世纪星源,1.9257,0.0718,,0.1503,15.0436
000006,深振业A,0.7574,0.1708,4.4114,0.2665,34.1934
000007,全新好,0.4914,0.1447,10.9197,0.2468,24.6766
000008,神州高铁,-0.2558,-0.0186,-16.6433,-0.4335,-43.3518
000009,中国宝安,0.1,0.0227,1.5916,0.0347,5.7626
000010,美丽生态,-0.0579,-0.0165,,-0.0248,-2.4904
000011,深物业A,0.5646,0.1441,3.3664,0.2116,22.3436
000012,南玻A,0.2613,0.0935,2.888,0.1866,32.3242
000014,沙河股份,-0.7418,-0.0485,,-0.072,-8.7144
000016,深康佳A,0.0696,0.0522,54.3744,0.0704,7.9292
000017,深中华A,0.0214,0.0236,,0.0023,0.2475
000018,神州长城,0.1084,0.0047,,0.0136,1.683
000019,深深宝A,-0.0609,-0.0084,-0.1315,-0.0323,-3.2688
000020,深华发A,-0.0126,-0.0091,-1.0998,-0.0145,-2.2335
000021,深科技,-0.0006,-0.0008,-0.3367,-0.0015,-0.1466
000022,深赤湾A,0.3909,0.0804,1.0839,0.2343,36.0814
000023,深天地A,0.0202,0.0104,,0.0151,1.6306
000025,特力A,-0.0185,-0.0089,,-0.0128,-2.1156
000026,飞亚达A,-0.0237,-0.0158,-0.5659,-0.0273,-2.7364
000027,深圳能源,0.1533,0.0484,1.5027,0.1071,22.8873
000028,国药一致,0.0009,0.0013,0.0332,0.0016,0.1722
000029,深深房A,-0.2755,-0.0558,-3.0707,-0.0959,-14.4077
000030,富奥股份,,-0.0012,,-0.0012,-0.1168
000031,中粮地产,0.4223,0.0323,7.2702,0.0403,5.5518
000032,深桑达A,-0.0183,-0.0106,,-0.0233,-2.3454
000033,*ST新都,0.1665,0.0167,,0.04,14.2463
000034,神州数码,-0.0085,-0.0142,,-0.0243,-2.724
000035,中国天楹,-3.6875,-0.9038,,-0.2034,-23.4043
000036,华联控股,-0.3157,-0.0219,-1.2942,-0.052,-8.885
000037,*ST南电A,0.0367,0.0071,,0.0104,1.0572
000038,深大通,0.0386,0.0044,1.4684,0.0062,0.6898
000039,中集集团,0.0229,0.0142,0.5625,0.0211,3.2951
000040,东旭蓝天,-0.3289,-0.058,-1.1516,-0.1008,-10.3526
000042,中洲控股,0.1149,0.0277,0.5757,0.0439,6.9573
000043,中航地产,-0.4009,-0.0469,-3.377,-0.0638,-9.1957
000045,深纺织A,-0.1648,-0.0499,,-0.1779,-37.1473
000046,泛海控股,-0.8219,-0.049,-5.7164,-0.0714,-15.2336
000048,康达尔,-0.0115,-0.0105,-0.3717,-0.0174,-1.8892
000049,德赛电池,0.168,0.2213,3.0813,0.3028,30.5911
000050,深天马A,0.1033,0.0425,2.7468,0.0682,13.4593
000055,方大集团,-0.0048,-0.002,-0.6886,-0.0042,-0.4397
000056,皇庭国际,-2.4801,-0.0895,-4.6168,-0.0742,-83.5277
000058,深赛格,-0.1031,-0.0212,-0.6579,-0.1104,-11.7448
000059,华锦股份,-0.1698,-0.1439,,-0.1882,-25.0841
000060,中金岭南,0.0332,0.0288,1.0761,0.0561,8.1633
000061,农产品,0.0045,0.0005,0.0313,0.0009,0.1148
000062,深圳华强,-0.205,-0.0296,-1.8201,-0.0406,-7.8327
000063,中兴通讯,-0.0959,-0.0565,,-0.0738,-9.5016
000065,北方国际,-2.462,-0.1607,-9.8688,-0.2125,-21.9288
000066,中国长城,0.0299,0.0392,9.2155,0.0517,5.8619
000068,华控赛格,-5.5613,-0.0995,,-0.2589,-26.6897
000069,华侨城A,0.3672,0.0539,2.1953,0.0745,12.5552
000070,特发信息,-0.0648,-0.0384,-1.7434,-0.0744,-9.4985
000078,海王生物,-0.0058,-0.005,-0.304,-0.0061,-0.6148
000088,盐田港,0.4051,0.0187,0.32,0.244,91.7581
000089,深圳机场,0.4107,0.0676,1.4728,0.2542,68.9906
000090,天健集团,0.1368,0.0353,1.3932,0.0585,7.1438
000096,广聚能源,0.0058,0.0023,0.2091,0.0257,3.0564
000099,中信海直,0.1427,0.0412,0.9733,0.1219,44.9902
