code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000001,平安银行,,,,,,
000002,万科A,32.1753,11.1887,0.127,2834.6457,0.1502,2396.8043
000004,国农科技,8.1726,44.0496,0.4441,810.6282,0.383,939.9478
000005,世纪星源,39.3398,9.151,2.7773,129.6223,0.2615,1376.673
000006,深振业A,23566.6464,0.0153,0.1985,1813.602,0.2759,1304.8206
000007,全新好,10.0367,35.8684,3.39,106.1947,0.6411,561.5349
000008,神州高铁,4.1296,87.1755,14.8888,24.1792,0.1204,2990.0332
000009,中国宝安,4.7343,76.0408,0.3623,993.6517,0.3214,1120.0996
000010,美丽生态,0.9596,375.1563,0.5201,692.1746,0.381,944.8819
000011,深物业A,13.6783,26.3191,0.3162,1138.5199,0.3342,1077.1993
000012,南玻A,15.2272,23.6419,8.372,43.0005,2.1286,169.1252
000014,沙河股份,19.8485,18.1374,0.0345,10434.7826,0.0728,4945.0549
000016,深康佳A,5.8788,61.237,3.2761,109.8868,0.8999,400.0444
000017,深中华A,67.6356,5.3226,4.935,72.9483,2.0973,171.6493
000018,神州长城,9.7673,36.8577,17.6768,20.3657,0.1319,2729.3404
000019,深深宝A,2.8957,124.3223,2.4589,146.4069,0.2574,1398.6014
000020,深华发A,3.376,106.6351,8.6121,41.8017,1.3388,268.8975
000021,深科技,8.0971,44.4604,13.9534,25.8002,1.7199,209.3145
000022,深赤湾A,5.3897,66.7941,26.3972,13.6378,1.9981,180.1712
000023,深天地A,1.4687,245.1147,3.1385,114.7045,0.7469,481.9922
000025,特力A,42.9652,8.3789,6.6014,54.5339,2.0426,176.246
000026,飞亚达A,6.8825,52.3066,0.855,421.0526,0.9456,380.7107
000027,深圳能源,5.6846,63.329,7.1225,50.5441,1.0503,342.7592
000028,国药一致,3.2726,110.0043,8.5853,41.9321,1.9089,188.5903
000029,深深房A,35.1445,10.2434,0.2274,1583.1135,0.2606,1381.4275
000030,富奥股份,,,,,0.0,
000031,中粮地产,14.8035,24.3186,0.0727,4951.8569,0.0861,4181.1847
000032,深桑达A,9.4366,38.1493,1.6402,219.4854,0.9256,388.9369
000033,*ST新都,4.2811,84.0905,19.7858,18.1949,0.4169,863.5164
000034,神州数码,10.437,34.4927,5.9328,60.6796,2.4297,148.1664
000035,中国天楹,13.9884,25.7356,,,0.2898,1242.236
000036,华联控股,75.5087,4.7677,0.0669,5381.1659,0.0914,3938.7309
000037,*ST南电A,1.0268,350.6038,1.3655,263.6397,0.3374,1066.9828
000038,深大通,5.9109,60.9044,0.1038,3468.2081,0.1203,2992.5187
000039,中集集团,5.0167,71.7603,2.1341,168.6894,0.99,363.6364
000040,东旭蓝天,38.6231,9.3208,0.1207,2982.6015,0.2687,1339.7841
000042,中洲控股,148.8614,2.4184,0.1922,1873.0489,0.2907,1238.3901
000043,中航地产,5.7258,62.8733,0.1876,1918.9765,0.1881,1913.8756
000045,深纺织A,9.4685,38.0208,5.4057,66.5964,0.9379,383.8362
000046,泛海控股,7.1883,50.0814,0.0298,12080.5369,0.0654,5504.5872
000048,康达尔,44.2452,8.1365,8.8573,40.6444,1.5844,227.2153
000049,德赛电池,2.6046,138.217,7.4541,48.2956,1.5498,232.288
000050,深天马A,3.1252,115.1926,6.0841,59.1706,1.3324,270.1891
000055,方大集团,1.3453,267.5983,2.9778,120.8946,0.7052,510.4935
000056,皇庭国际,9.8455,36.5649,0.0422,8530.8057,0.0392,9183.6735
000058,深赛格,25.0124,14.3929,138.2901,2.6032,0.39,923.0769
000059,华锦股份,198.0257,1.8179,5.0148,71.7875,2.9379,122.5365
000060,中金岭南,23.7917,15.1313,4.3482,82.7929,2.4368,147.7347
000061,农产品,19.4807,18.4798,7.5134,47.9144,0.3836,938.4776
000062,深圳华强,49.2558,7.3088,0.2003,1797.304,0.2783,1293.5681
000063,中兴通讯,2.324,154.9053,3.2697,110.1018,0.7401,486.4208
000065,北方国际,0.2519,1429.1385,0.4043,890.4279,0.0774,4651.1628
000066,中国长城,3.95,91.1392,5.2112,69.082,1.8303,196.6891
000068,华控赛格,,,16.2423,22.1643,0.1477,2437.3731
000069,华侨城A,31.8856,11.2904,0.142,2535.2113,0.2413,1491.9188
000070,特发信息,2.6224,137.2788,2.82,127.6596,0.9718,370.4466
000078,海王生物,2.3441,153.5771,6.1685,58.361,1.1348,317.2365
000088,盐田港,11.4689,31.3892,2176.5991,0.1654,0.2289,1572.7392
000089,深圳机场,5.5316,65.0806,347.4053,1.0363,0.9331,385.8107
000090,天健集团,8.4487,42.6101,0.4094,879.3356,0.4011,897.5318
000096,广聚能源,240.9778,1.4939,9.9994,36.0022,1.0057,357.9596
000099,中信海直,3.1221,115.307,1.8476,194.8474,0.9702,371.0575
000100,TCL集团,6.5035,55.3548,4.4285,81.2916,1.0433,345.0589
000150,宜华健康,4.0572,88.7311,0.0242,14876.0331,0.045,8000.0
000151,中成股份,62.6302,5.748,2.8379,126.8544,0.7609,473.1239
000153,丰原药业,4.8187,74.7089,5.8669,61.3612,2.1506,167.3951
000155,*ST川化,40.933,8.7949,4.2427,84.8516,2.0541,175.2592
000156,华数传媒,6.3201,56.9611,13.1879,27.2978,2.2161,162.4475
000157,中联重科,2.4959,144.2365,2.3588,152.62,0.7061,509.8428
000158,常山股份,27.7129,12.9903,2.8011,128.5209,1.0806,333.1483
000159,国际实业,8.857,40.6458,1.0799,333.3642,0.5351,672.7714
000166,申万宏源,,,,,,
000301,东方市场,9.948,36.1882,0.7739,465.1764,0.5019,717.2744
000333,美的集团,6.747,53.357,4.7165,76.3278,1.3036,276.1583
000338,潍柴动力,6.6869,53.8366,3.1964,112.6267,0.8988,400.534
000400,许继电气,1.3156,273.6394,1.8842,191.0625,0.6843,526.0851
000401,冀东水泥,8.8332,40.7553,3.8177,94.2976,1.1127,323.5373
000402,金融街,39.6557,9.0781,0.1764,2040.8163,0.1755,2051.2821
000403,ST生化,46.3039,7.7747,0.7408,485.9611,0.9084,396.3012
000404,华意压缩,4.5333,79.4123,5.9335,60.6725,1.3644,263.8522
000407,胜利股份,5.0377,71.4612,3.9688,90.7075,1.0797,333.426
000408,*ST金源,2.7746,129.7484,,,0.0881,4086.2656
000409,山东地矿,18.6953,19.2562,83.8878,4.2914,2.6125,137.799
000410,沈阳机床,1.8924,190.2346,0.9199,391.3469,0.5762,624.7831
000411,英特集团,4.1707,86.3164,8.5359,42.1748,2.1474,167.6446
000413,东旭光电,2.9513,121.9801,1.723,208.9379,0.6403,562.2365
000415,渤海金控,18.5459,19.4113,,,0.4049,889.1084
000416,民生控股,577.753,0.6231,14.2507,25.2619,0.4607,781.4196
000417,合肥百货,289.6074,1.2431,8.0023,44.9871,1.424,252.809
000418,小天鹅A,5.1413,70.0212,3.6686,98.1301,0.6563,548.5296
000419,通程控股,81.6853,4.4072,7.0196,51.285,1.8598,193.5692
000420,吉林化纤,10.8006,33.3315,2.4206,148.7235,0.9813,366.8603
000421,南京公用,27.8527,12.9251,1.2206,294.9369,0.8016,449.1018
000422,湖北宜化,27.0421,13.3126,3.0105,119.5815,1.309,275.0191
000423,东阿阿胶,16.8823,21.3241,1.4978,240.3525,0.5414,664.9427
000425,徐工机械,1.7998,200.0222,3.2482,110.8306,0.8084,445.3241
000426,兴业矿业,28.3421,12.702,1.7737,202.9656,1.5113,238.2055
000428,华天酒店,10.4027,34.6064,0.6063,593.7655,0.7702,467.4111
000429,粤高速A,25.1032,14.3408,,,0.5523,651.8197
000430,张家界,119.4454,3.0139,91.143,3.9498,5.8505,61.5332
000488,晨鸣纸业,4.7102,76.4299,2.3818,151.1462,0.8608,418.2156
000498,山东路桥,,,,,0.0,
000501,鄂武商A,453.5438,0.7937,,,2.6581,135.4351
000502,绿景控股,21.0003,17.1426,0.0777,4633.2046,0.0739,4871.4479
000503,海虹控股,18.2352,19.742,88.8164,4.0533,0.1112,3237.4101
000504,*ST生物,1.2351,291.4744,29.3865,12.2505,0.8127,442.9679
000505,*ST珠江,15.8444,22.721,0.9577,375.9006,0.2335,1541.7559
000506,中润资源,10.0039,35.986,0.1618,2224.9691,0.1723,2089.379
000507,珠海港,4.0096,89.7845,119.0093,3.025,0.5331,675.2954
000509,华塑控股,4.1949,85.8185,0.0,,1.1833,304.2339
000510,金路集团,131.1876,2.7442,8.9848,40.0677,2.0986,171.5429
000511,*ST烯碳,27.4667,13.1068,0.0647,5564.1422,0.0846,4255.3191
000513,丽珠集团,4.4601,80.7157,2.4289,148.2152,0.9834,366.0769
000514,渝开发,1.529,235.448,0.0899,4004.4494,0.0966,3726.7081
000516,国际医学,115.1602,3.1261,47.453,7.5865,2.2426,160.528
000517,荣安地产,28.8505,12.4781,0.0359,10027.8552,0.0673,5349.1828
000518,四环生物,2.0077,179.3097,2.2444,160.3992,0.3824,941.4226
000519,中兵红箭,2.9548,121.8357,1.9783,181.9744,0.8564,420.3643
000520,长航凤凰,6.6556,54.0898,15.2054,23.6758,1.1319,318.0493
000521,美菱电器,10.2891,34.9885,3.469,103.7763,1.2815,280.9208
000523,广州浪奇,9.6012,37.4953,10.8754,33.1022,2.0812,172.9771
000524,岭南控股,24.6237,14.6201,16.8691,21.3408,1.3776,261.324
000525,红太阳,20.2198,17.8043,3.2099,112.153,1.1467,313.9444
000526,*ST紫学,1.2223,294.5267,,,0.9235,389.8213
000528,柳工,4.1919,85.8799,1.6828,213.9292,0.6425,560.3113
000529,广弘控股,31.3174,11.4952,5.5472,64.8976,1.4657,245.6164
000530,大冷股份,3.1537,114.1516,2.6015,138.3817,0.8122,443.2406
000531,穗恒运A,7.7684,46.3416,1.7375,207.1942,0.9881,364.3356
000532,力合股份,2.027,177.6024,1.4955,240.7222,0.4059,886.918
000533,万家乐,3.794,94.8867,3.305,108.9259,1.0062,357.7818
000534,万泽股份,9.0903,39.6027,0.1424,2528.0899,0.181,1988.9503
000536,华映科技,1.6972,212.1141,9.5945,37.5215,0.5706,630.9148
000537,广宇发展,581.8051,0.6188,0.2214,1626.0163,0.3795,948.6166
000538,云南白药,14.6287,24.6092,1.6801,214.273,1.1654,308.9068
000539,粤电力A,7.5085,47.9457,7.4765,48.1509,1.6966,212.1891
000540,中天金融,18.5468,19.4104,0.1099,3275.7052,0.1352,2662.7219
000541,佛山照明,4.9463,72.7817,2.3182,155.2929,0.9337,385.5628
000543,皖能电力,8.0157,44.9119,15.3338,23.4775,2.3747,151.5981
000544,中原环保,1.0726,335.633,10.3539,34.7695,0.439,820.0456
000545,金浦钛业,1.5168,237.3418,0.6223,578.4991,0.6016,598.4043
000546,金圆股份,16.7779,21.4568,0.3391,1061.6337,0.3503,1027.6906
000547,航天发展,1.2792,281.4259,0.5377,669.5183,0.1651,2180.4967
000548,湖南投资,2.7272,132.0035,0.153,2352.9412,0.1306,2756.5084
000550,江铃汽车,40.394,8.9122,8.1403,44.2244,1.6475,218.5129
000551,创元科技,3.9405,91.359,2.3959,150.2567,0.9276,388.0983
000552,靖远煤电,6.7221,53.5547,5.6005,64.28,2.2065,163.1543
000553,沙隆达A,10.4806,34.3492,5.2249,68.9008,1.9514,184.4829
000554,泰山石油,458.0453,0.7859,25.6641,14.0274,13.5663,26.5363
000555,神州信息,,,,,2.0681,174.0728
000557,西部创业,1.4551,247.4057,0.0,,0.0008,450000.0
000558,莱茵体育,226.0482,1.5926,0.1308,2752.2936,0.1457,2470.8305
000559,万向钱潮,4.3959,81.8945,3.3859,106.3233,0.9294,387.3467
000560,昆百大A,67.9258,5.2999,0.5222,689.391,0.5347,673.2747
000561,烽火电子,0.8203,438.8638,0.7387,487.3426,0.3862,932.1595
000563,陕国投A,,,,,,
000564,供销大集,63.9965,5.6253,10.8688,33.1223,0.8212,438.3829
000565,渝三峡A,4.313,83.4686,2.5635,140.433,0.7904,455.4656
000566,海南海药,3.056,117.801,1.2024,299.4012,0.4231,850.8627
000567,海德股份,,,0.0,,0.0364,9890.1099
000568,泸州老窖,93.9382,3.8323,1.1498,313.0979,0.832,432.6923
000570,苏常柴A,5.313,67.7583,5.2941,68.0002,1.3558,265.5259
000571,新大洲A,12.5422,28.7031,5.1771,69.537,1.3993,257.2715
000572,海马汽车,94.7285,3.8003,4.8867,73.6693,0.8921,403.5422
000573,粤宏远A,16.5775,21.7162,0.2155,1670.5336,0.3087,1166.1808
000576,广东甘化,5.43,66.2983,11.5944,31.0495,0.9794,367.572
000581,威孚高科,3.3688,106.863,3.2983,109.1471,0.7226,498.2009
000582,北部湾港,31.699,11.3568,50.805,7.0859,5.0003,71.9957
000584,友利控股,16.1989,22.2237,0.6513,552.7407,0.3733,964.3718
000585,东北电气,0.6893,522.269,1.7674,203.689,0.3267,1101.9284
000586,汇源通信,1.5397,233.8118,2.6778,134.4387,0.7552,476.6949
000587,金洲慈航,11.1722,32.2228,4.1942,85.8328,2.6725,134.7053
000589,黔轮胎A,4.2053,85.6063,3.9192,91.8555,1.2463,288.855
000590,启迪古汉,6.1289,58.7381,1.7077,210.8099,1.0578,340.329
000591,太阳能,9.991,36.0324,4.8263,74.5913,1.8722,192.2871
000592,平潭发展,4.9741,72.3749,0.6655,540.9467,0.3922,917.899
000593,大通燃气,37.357,9.6367,4.6144,78.0166,2.0425,176.2546
000595,*ST宝实,0.8724,412.6547,1.0326,348.6345,0.4445,809.8988
000596,古井贡酒,121.2877,2.9681,1.4881,241.9192,0.9236,389.7791
000597,东北制药,5.2322,68.8047,2.7971,128.7047,1.085,331.7972
000598,兴蓉环境,5.2314,68.8152,5.9889,60.1112,0.6891,522.4205
000599,青岛双星,6.1596,58.4454,3.3956,106.0196,1.7907,201.0387
000600,建投能源,7.7349,46.5423,11.4851,31.345,1.8476,194.8474
000601,韶能股份,6.6167,54.4078,4.2315,85.0762,1.6148,222.9378
000603,盛达矿业,,,3.652,98.5761,0.9657,372.7866
000605,渤海股份,6.6549,54.0955,1.3397,268.7169,1.0821,332.6864
000606,神州易桥,2.7239,132.1634,1.6661,216.0735,0.7296,493.4211
000607,华媒控股,1.7728,203.0686,3.9917,90.1871,0.9234,389.8635
000608,阳光股份,55.9543,6.4338,0.0386,9326.4249,0.0969,3715.1703
000609,绵石投资,0.2011,1790.1542,0.0171,21052.6316,0.0111,32432.4324
000610,西安旅游,15.3144,23.5073,12.5649,28.6512,3.2374,111.2003
000611,*ST天首,13.6022,26.4663,0.8017,449.0458,0.4223,852.4745
000612,焦作万方,199.9912,1.8001,9.4413,38.1303,4.6522,77.3827
000613,*ST东海A,16.476,21.85,6.2328,57.759,2.2029,163.4209
000615,京汉股份,14.3495,25.088,1.5296,235.3556,0.8602,418.5073
000616,海航投资,47.5366,7.5731,0.1558,2310.6547,0.2292,1570.6806
000617,中油资本,1.3046,275.9467,1.3459,267.479,0.5695,632.1335
000619,海螺型材,155.321,2.3178,4.2629,84.4496,1.3486,266.9435
000620,新华联,24.4304,14.7357,0.1619,2223.5948,0.1883,1911.8428
000622,*ST恒立,2.6492,135.8901,2.1643,166.3355,0.8549,421.1019
000623,吉林敖东,4.8374,74.4201,1.3308,270.514,0.5094,706.7138
000625,长安汽车,33.9342,10.6088,3.9398,91.3752,1.3157,273.6186
000626,远大控股,70.3294,5.1188,12.9359,27.8295,4.6153,78.0014
000627,天茂集团,8.6034,41.8439,3.8115,94.451,1.1768,305.9143
000628,高新发展,4.9909,72.1313,1.7915,200.9489,0.398,904.5226
000629,*ST钒钛,28.6573,12.5622,7.0467,51.0877,1.3561,265.4671
000630,铜陵有色,46.33,7.7703,5.2627,68.406,2.7298,131.8778
000631,顺发恒业,121.0199,2.9747,0.1179,3053.4351,0.189,1904.7619
000632,三木集团,19.8674,18.1201,2.2034,163.3839,0.9875,364.557
000633,*ST合金,3.7291,96.538,5.9348,60.6592,1.0612,339.2386
000635,英力特,21.7087,16.5832,5.0483,71.3111,2.7252,132.1004
000636,风华高科,4.2974,83.7716,3.2973,109.1802,1.151,312.7715
000637,茂化实华,223.3032,1.6122,21.8454,16.4794,5.1955,69.2907
000638,万方发展,0.0322,11180.1242,0.0,,0.0071,50704.2254
000639,西王食品,17.6408,20.4072,6.6243,54.3454,2.1113,170.5111
000650,仁和药业,15.2488,23.6084,6.5111,55.2902,1.5385,233.9942
000651,格力电器,50.2311,7.1669,3.8985,92.3432,0.9607,374.7268
000652,泰达股份,15.9912,22.5124,1.0728,335.5705,0.491,733.1976
000655,金岭矿业,17.916,20.0938,6.1797,58.2553,0.6839,526.3927
000656,金科股份,41.2213,8.7333,0.1264,2848.1013,0.1562,2304.7375
000657,中钨高新,,,4.5856,78.5066,4.0788,88.2613
000659,珠海中富,5.1111,70.4349,4.3639,82.495,1.0912,329.912
000661,长春高新,5.1737,69.5827,0.6276,573.6138,0.9523,378.0321
000662,天夏智慧,2.3206,155.1323,1.9533,184.3035,0.6502,553.6758
000663,永安林业,13.3603,26.9455,0.4304,836.4312,0.4402,817.8101
000665,湖北广电,4.2153,85.4032,6.3726,56.4919,1.4832,242.7184
000666,经纬纺机,6.8361,52.6616,2.1114,170.503,0.3919,918.6017
000667,美好置业,19.8647,18.1226,0.0922,3904.5553,0.0925,3891.8919
000668,荣丰控股,3.4989,102.8895,0.0147,24489.7959,0.0505,7128.7129
000669,金鸿能源,0.9501,378.9075,1.7084,210.7235,0.0932,3862.6609
000670,盈方微,1.3539,265.8985,0.5345,673.5267,0.264,1363.6364
000671,阳光城,20.1842,17.8357,0.379,949.8681,0.2815,1278.8632
000672,上峰水泥,4632.2939,0.0777,467.4634,0.7701,8.0311,44.8257
000673,当代东方,,,,,0.3692,975.0813
000676,智度股份,1.9201,187.4902,1.553,231.8094,0.6634,542.659
000677,恒天海龙,3.4245,105.1248,2.068,174.0812,0.733,491.1323
000678,襄阳轴承,3.8881,92.5902,1.7338,207.6364,0.8264,435.6244
000679,大连友谊,174.0205,2.0687,0.2781,1294.4984,0.3147,1143.9466
000680,山推股份,3.6599,98.3633,2.3202,155.159,0.8578,419.6782
