code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000001,平安银行,0.41,-22.64,9.97,4.21,0.84,562900.0,11.38,,04-24
000002,万科A,0.06,-57.86,8.05,0.73,-1.39,65023.24,-57.49,,04-27
000004,国农科技,-0.02,-34.03,,-2.34,,-185.37,-34.07,,04-30
000005,世纪星源,-0.01,-7.37,,-1.21,,-806.65,-7.09,,04-28
000006,深振业A,0.15,555.26,,4.76,,20162.29,556.3,,04-24
000007,全新好,-0.02,-20.68,,-1.38,,-486.63,-20.92,,04-30
000008,神州高铁,0.08,384.81,,2.72,,5644.31,1075.39,,04-29
000009,中国宝安,0.03,-50.0,,1.91,,5557.97,-24.99,,04-29
000010,美丽生态,-0.0,-62.24,,-0.39,,-216.91,-62.26,,04-29
000011,深物业A,0.0,-98.71,,0.02,,35.64,-98.71,,04-30
000012,南玻A,0.04,-33.22,,0.98,,8220.13,-33.2,,04-30
000014,沙河股份,0.0,-98.81,,0.05,,33.64,-98.83,,04-25
000016,深康佳A,0.01,-18.99,,0.19,,775.24,-18.59,,04-29
000017,深中华A,0.0,-16.67,,2.26,,27.23,-23.15,,04-30
000018,神州长城,-0.0,-80.0,,-0.3,,-39.08,-65.86,,04-30
000019,深深宝A,-0.03,29.51,,-0.99,,-952.81,55.44,,04-21
000020,深华发A,0.0,-28.0,,0.18,,51.19,-26.35,,04-28
000021,深科技,0.04,-150.0,,1.04,,5183.62,-144.81,,04-28
000022,深赤湾A,0.16,-3.64,,2.46,,10258.07,-3.73,,04-25
000023,深天地A,-0.01,-50.0,,-0.5,,-181.24,-36.02,,04-28
000025,特力A,0.0,-78.67,,0.15,,78.8,-76.2,,04-29
000026,飞亚达A,0.11,0.88,,2.7,,4496.72,1.7,,04-18
000027,深圳能源,0.14,-11.33,,2.04,,36415.05,-11.31,,04-29
000028,国药一致,0.54,-6.7,,4.05,,19702.62,17.4,,04-24
000029,深深房A,0.02,12.84,,1.15,,2491.9,13.14,,04-29
000030,富奥股份,0.12,0.0,,3.7,,16215.99,6.0,,04-29
000031,中粮地产,0.04,0.0,,1.19,,7192.67,7.29,,04-30
000032,深桑达A,0.0,-110.0,,0.05,,48.55,-109.43,,04-28
000033,*ST新都,-0.02,0.57,,3.22,,-582.17,0.34,,04-30
000034,神州数码,0.06,-6500.0,,12.98,,2298.8,-7349.85,,04-16
000035,中国天楹,0.07,-800.0,,2.17,,3566.08,-2369.17,,04-21
000036,华联控股,-0.01,-1242.86,,-0.46,,-867.73,-1233.0,,04-30
000037,*ST南电A,-0.15,66.67,,-7.3,,-8844.88,69.52,,04-28
000038,深大通,-0.01,-33.33,,-0.02,,-55.05,-35.68,,04-30
000039,中集集团,0.19,287.71,,2.2,,49742.7,288.95,,04-28
000040,东旭蓝天,0.01,40.0,,0.51,,649.07,89.81,,04-30
000042,中洲控股,0.96,0.31,,13.07,,46139.88,100.62,,04-30
000043,中航地产,-0.1,-241.89,,-1.96,,-6821.13,-241.85,,04-30
000045,深纺织A,0.01,-143.0,,0.2,,433.97,-139.55,,04-29
000046,泛海控股,0.06,243.03,,2.74,,25798.76,242.66,,04-30
000048,康达尔,0.02,86.59,,1.15,,597.18,85.64,,04-30
000049,德赛电池,0.29,-20.62,,7.66,,5911.47,19.09,,04-18
000050,深天马A,0.11,119.62,,1.57,,12923.73,335.46,,04-28
000055,方大集团,0.02,34.87,,1.25,,1550.43,35.02,,04-21
000056,皇庭国际,0.02,-111.76,,,,561.38,-114.65,,04-28
000058,深赛格,0.03,-4.9,,1.63,,2134.86,-4.9,,04-30
000059,华锦股份,-0.09,-65.38,,-2.45,,-14841.8,-53.17,,04-15
000060,中金岭南,0.03,-20.0,,0.9,,5820.7,-19.83,,04-29
000061,农产品,-0.0,-52.24,,-0.11,,-549.23,-51.74,,04-30
000062,深圳华强,0.08,-61.33,,2.2,,5202.53,-61.33,,04-17
000063,中兴通讯,0.24,33.33,9.61,3.2,-1.11,88293.0,41.91,,04-24
000065,北方国际,0.09,-10.0,,2.25,,2184.0,6.52,,04-30
000066,中国长城,-0.07,-5.49,,-3.46,,-8654.31,-5.54,,04-30
000068,华控赛格,-0.01,-15.79,,-2.51,,-1083.15,-9.21,,04-29
000069,华侨城A,0.07,-22.83,,1.82,,51609.17,-22.51,,04-21
000070,特发信息,0.05,45.75,,1.25,,1347.0,45.56,,04-28
000078,海王生物,0.04,2.73,,1.9,,2754.82,2.93,,04-28
000088,盐田港,0.04,-33.22,,1.44,,7458.94,-33.24,,04-25
000089,深圳机场,0.05,44.41,,1.15,,9181.62,44.39,,04-30
000090,天健集团,0.09,300.94,,1.26,,4720.48,300.45,,04-21
000096,广聚能源,0.26,710.49,,7.17,,13863.19,709.18,,04-30
000099,中信海直,0.06,3.5,,1.32,,3587.6,10.3,,04-28
000100,TCL集团,0.07,-20.33,1.93,3.69,0.06,75410.22,2.61,,04-27
000150,宜华健康,0.01,-152.2,,0.22,,365.95,-171.18,,04-29
000151,中成股份,0.08,-7.78,,2.37,,2384.71,-7.84,,04-29
000153,丰原药业,0.02,48.84,,0.54,,598.11,48.29,,04-29
000155,*ST川化,-0.11,-56.0,,6.3,,-5349.54,-55.19,,04-30
000156,华数传媒,0.11,48.65,,5.8,,13117.91,53.81,,04-29
000157,中联重科,-0.05,-200.0,,-0.96,,-38335.53,-196.86,,04-30
000158,常山股份,-0.06,90.0,,-1.66,,-4066.81,87.29,,04-30
000159,国际实业,-0.02,-169.69,,-0.52,,-1112.96,-180.67,,04-28
000166,申万宏源,0.19,137.5,2.77,6.23,2.27,256655.05,352.58,,04-30
000301,东方市场,0.03,-18.26,,1.16,,3660.08,-18.2,,04-21
000333,美的集团,0.79,-47.68,,8.11,,334213.48,31.64,,04-29
000338,潍柴动力,0.3,-43.4,,1.87,,60018.84,-43.11,,04-29
000400,许继电气,0.01,-93.01,,0.19,,1055.9,-89.32,,04-29
000401,冀东水泥,-0.45,40.38,,-5.22,,-59952.44,40.56,,04-25
000402,金融街,0.27,200.0,,3.24,,79757.92,197.86,,04-29
000403,ST生化,0.05,-86.84,,2.96,,1380.32,-86.71,,04-30
000404,华意压缩,0.07,-30.05,,1.86,,3854.73,-30.05,,04-17
000407,胜利股份,0.01,-50.0,,0.46,,812.15,-22.3,,04-28
000408,*ST金源,0.0,37.5,,0.41,,55.31,33.07,,04-29
000409,山东地矿,-0.06,-250.0,,-2.55,,-2601.84,-245.48,,04-30
000410,沈阳机床,-0.18,-1900.0,,-5.31,,-13994.72,-1626.24,,04-30
000411,英特集团,0.08,14.39,,2.72,,1682.58,14.39,,04-30
000413,东旭光电,0.08,-65.22,,3.23,,21115.96,1.69,,04-30
000415,渤海金控,0.14,-0.64,,2.49,,24684.2,28.72,,04-29
000416,民生控股,0.02,-330.61,,1.37,,1203.27,-331.11,,04-30
000417,合肥百货,0.14,-24.49,,3.29,,10868.69,-24.49,,04-21
000418,小天鹅A,0.38,40.74,,5.33,,24231.45,41.89,,04-22
000419,通程控股,0.07,4.75,,1.97,,3710.29,4.62,,04-25
000420,吉林化纤,-0.06,-115.77,,-4.08,,-3947.43,-129.86,,04-29
000421,南京公用,0.15,48.18,,4.06,,8644.49,141.23,,04-28
000422,湖北宜化,0.01,-77.36,,0.17,,1041.66,-77.9,,04-25
000423,东阿阿胶,0.8,23.17,,8.51,,52610.19,23.16,,04-28
000425,徐工机械,-0.17,-185.0,,-1.98,,-39358.03,-195.53,,04-18
