code,name,mbrg,nprg,nav,targ,epsg,seg
000001,平安银行,,6.5159,7.8916,8.9018,7.3529,7.8916
000002,万科A,51.8032,34.5132,27.6911,44.7542,25.7576,19.7544
000004,国农科技,427.4929,,19.7437,40.083,-152.5612,12.4702
000005,世纪星源,34.4752,,5.4460000000000015,3.5894,-145.8333,5.21
000006,深振业A,-43.5394,70.6964,14.800999999999998,-7.0544,66.6306,14.5189
000007,全新好,3.0696,-216.2491,-3.9343,-4.5527,-152.5535,-3.9993
000008,神州高铁,28.4217,2.7739999999999996,14.3114,16.6116,10.101,14.1587
000008,神州高铁,28.4217,2.774,14.3114,16.6116,10.101,14.1587
000009,中国宝安,47.5879,2.76,8.7237,16.5217,43.4316,12.032
000010,美丽生态,-60.6686,,-50.0456,-32.0623,86.5108,-50.6145
000011,深物业A,-37.3635,-77.2276,6.0121,-22.5239,-77.2326,6.0139999999999985
000011,深物业A,-37.3635,-77.2276,6.0121,-22.5239,-77.2326,6.013999999999999
000012,南玻A,10.6553,-10.2775,8.3883,14.4701,-31.5789,8.7318
000014,沙河股份,-59.7265,-19.9548,0.7208,5.5755,-21.9388,0.6443
000016,深康佳A,54.528,1088.3016,157.6319,36.1363,1008.5938,171.1223
000017,深中华A,38.4332,,27.7035,44.6919,-132.2581,29.7786
000018,神州长城,-47.5396,-48.8085,14.7437,15.8547,-47.0,12.727
000019,深深宝A,-1.0402,,-6.2243,-7.228,2.8011,-6.3296
000020,深华发A,-22.4118,30.1267,0.5037,-13.1404,30.2632,0.5037
000021,深科技,15.0011,-44.4276,3.7284,1.2586,-44.1148,3.486
000022,深赤湾A,34.0495,38.4488,-6.1343,3.5989,14.2191,-4.0077
000023,深天地A,15.2256,-121.2191,0.2275,14.6247,-95.5137,1.272
000025,特力A,22.9656,13.5268,9.891,21.3946,9.5526,7.5121
000026,飞亚达A,6.0236,29.7375,6.3584,-5.609,29.6053,6.5074
000027,深圳能源,29.2613,33.9774,-1.9232,15.8555,33.235,-2.91
000028,国药一致,1.2393,14.9642,12.0679,8.1678,15.4734,11.7977
000029,深深房A,80.1626,139.8298,14.0537,18.9951,139.8968,13.4518
000030,富奥股份,11.6074,10.0958,12.0982,19.8613,5.7143,11.2833
000031,中粮地产,8.8609,135.0298,11.8466,32.6549,277.7778,24.3945
000032,深桑达A,10.3247,235.2043,-5.6771,4.7684,138.3333,-9.3506
000034,神州数码,26.6167,29.6468,26.0104,39.1188,31.25800000000001,26.1793
000034,神州数码,26.6167,29.6468,26.0104,39.1188,31.258000000000006,26.1793
000035,中国天楹,59.2127,26.2426,47.0817,24.8481,10.9966,45.4802
000036,华联控股,-50.5958,-62.6787,3.5444,21.7401,-63.8829,3.3076
000037,深南电A,23.6892,,3.0061,7.2767,-225.0,3.5699
000038,深大通,44.7706,-35.6042,1.0802,-6.8279999999999985,-59.5238,1.5991
000038,深大通,44.7706,-35.6042,1.0802,-6.827999999999999,-59.5238,1.5991
000039,中集集团,30.4705,23.3892,4.4496,6.7719,19.8512,2.8173
000040,东旭蓝天,10.9163,769.7474,14.8647,33.9071,771.6814,14.8707
000042,中洲控股,82.4322,370.0453,25.14,25.0905,374.5606,17.3061
000043,中航善达,17.3979,,3.2221,1.7472,-189.5586,8.9487
000045,深纺织A,-27.1932,-63.6412,2.2848,5.6007,-33.3333,2.3894
000046,泛海控股,-47.6156,49.957,15.6527,13.9344,47.6136,14.3033
000048,*ST康达,59.3153,,56.1083,77.1441,-318.7042,56.2071
000049,德赛电池,35.2237,16.9795,17.8315,42.1349,16.4934,21.6387
000050,深天马A,125.2577,87.6414,81.7818,141.2042,28.7547,81.7818
