code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002859,N洁美,元器件,浙江,31.8,0.23,1.02,114259.21,47892.78,41872.42,18340.95,1.79,1.35,6.98,6.15,20170407,26277.55,2.57,27.66,54.67,38.58,18.33,44610
603538,N美诺华,化学制药,浙江,30.74,0.3,1.2,95529.15,34671.93,24591.78,15551.32,1.3,0.657,7.67,2.63,20170407,43476.06,3.62,-3.19,2.37,37.46,13.64,29922
600008,首创股份,环境保护,北京,44.82,48.21,48.21,3963511.5,1331743.5,480424.16,60758.82,0.13,0.127,2.02,2.81,20000427,193999.42,0.4,12.04,13.92,32.94,7.72,163174
000709,河钢股份,普钢,河北,41.04,106.17,106.19,17854344.0,5346177.5,8677997.0,2320581.5,2.19,0.088,4.17,1.15,19970416,833410.19,0.78,-3.4,83.9,12.78,1.58,351979
002146,荣盛发展,全国地产,河北,17.41,38.89,43.48,12803141.0,12175567.0,136918.67,463608.34,1.07,0.5,4.99,2.33,20070808,960234.13,2.21,25.31,29.91,30.61,11.62,82429
300332,天壕环境,环境保护,北京,90.81,6.34,9.02,533216.19,100281.2,175578.06,103347.56,1.15,0.097,3.0,3.91,20120628,51017.34,0.57,87.77,-5.98,20.59,9.09,26833
600550,保变电气,电气设备,河北,132.47,13.73,15.35,965226.5,678017.0,108265.25,314492.31,2.05,0.071,0.27,34.95,20010228,-461575.25,-3.01,1.02,20.38,23.66,2.68,110712
000600,建投能源,火力发电,河北,14.73,10.9,17.92,2923995.0,480325.0,1635742.38,440347.16,2.46,0.811,6.27,1.91,19960606,442834.91,2.47,-2.48,-28.92,31.4,15.48,56085
600874,创业环保,环境保护,天津,32.49,10.87,14.27,1064089.75,339254.59,41348.6,39911.5,0.28,0.311,3.32,3.04,19950630,247310.91,1.73,1.26,34.08,41.29,22.63,82453
000778,新兴铸管,钢加工,河北,95.48,36.43,39.91,4661685.5,2340096.25,1203207.63,726847.06,1.82,0.057,4.7,1.54,19970606,508859.59,1.28,8.12,-22.59,5.44,0.56,188222
603178,圣龙股份,汽车配件,浙江,47.45,0.5,2.0,152049.06,60084.26,55250.7,1732.39,0.09,0.405,2.72,7.05,20170328,21428.82,1.07,12.33,17.81,23.24,6.46,49497
002542,中化岩土,建筑施工,北京,106.39,6.22,18.0,474920.44,316869.41,61396.91,35590.5,0.2,0.081,1.55,7.41,20110128,54347.05,0.3,17.11,10.03,23.87,9.76,41276
600149,廊坊发展,综合类,河北,0.0,3.8,3.8,21859.71,4967.85,2795.65,10597.37,0.28,-0.04,0.51,43.37,19991014,-33930.4,-0.89,275.67,-663.01,25.01,-92.69,100404
300374,恒通科技,其他建材,北京,96.61,1.17,1.95,130347.72,71843.45,27376.56,25748.31,1.32,0.258,4.14,6.02,20150319,34170.0,1.76,84.1,15.49,13.34,6.05,15607
603969,银龙股份,其他建材,天津,58.21,1.53,4.0,175103.41,129220.38,25552.6,67153.43,1.68,0.362,3.98,5.29,20150227,45242.01,1.13,6.27,12.76,23.59,9.76,28429
600230,沧州大化,农药化肥,河北,21.76,2.94,2.94,374649.66,93723.68,233122.42,64217.56,2.18,1.261,5.13,5.35,20000406,37306.12,1.27,64.06,160.83,33.47,12.6,12953
300075,数字政通,软件服务,北京,117.53,2.69,3.95,185701.97,120037.71,5467.22,50855.25,1.29,0.142,3.55,6.24,20100427,43655.34,1.1,38.41,32.18,45.73,13.37,40661
300630,普利制药,化学制药,海南,51.31,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,8.74,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,55221
002858,力盛赛车,文教休闲,上海,63.69,0.16,0.63,27191.9,17527.09,5828.14,5264.85,0.83,0.517,4.7,7.01,20170324,11122.82,1.76,9.67,32.23,33.33,13.56,29413
000923,河北宣工,工程机械,河北,0.0,1.98,1.98,138403.86,76438.56,42160.03,16355.75,0.83,-0.158,1.96,16.97,19990714,-2328.7,-0.12,23.67,2.33,14.52,-17.26,27609
603041,美思德,化工原料,江苏,39.91,0.25,1.0,48410.73,31768.9,13959.75,6757.07,0.68,0.683,5.42,5.03,20170330,23048.82,2.3,4.94,1.36,42.09,24.19,27801
000605,渤海股份,水务,北京,160.63,1.23,2.52,346469.44,71213.31,109560.4,49125.07,1.95,0.22,5.37,5.05,19960913,31637.39,1.26,4.93,-6.2,22.91,5.33,20785
000965,天保基建,区域地产,天津,27.84,10.09,10.09,839496.88,731079.06,10941.92,189402.36,1.88,0.288,4.64,1.73,20000406,166323.22,1.65,26.68,55.52,35.97,17.56,37933
603717,天域生态,环境保护,重庆,64.57,0.43,1.73,148173.72,133743.36,1548.83,12737.9,0.74,0.636,4.64,8.86,20170327,31289.65,1.81,0.64,11.91,30.18,13.31,39348
300428,四通新材,铝,河北,125.33,0.62,2.42,73228.18,47411.51,13615.87,13180.1,0.54,0.288,2.58,14.02,20150319,20207.78,0.83,20.46,12.54,14.17,7.78,21926
603388,元成股份,建筑施工,浙江,70.44,0.25,1.0,88525.96,77563.93,3067.37,11700.82,1.17,0.53,5.48,6.81,20170324,19665.52,1.97,22.99,8.56,24.79,9.72,27751
603586,金麒麟,汽车配件,山东,34.21,0.53,2.09,179397.55,92219.71,66365.5,24591.68,1.17,0.99,6.31,5.37,20170406,53542.21,2.56,15.04,28.35,35.92,16.05,51393
300635,达安股份,建筑施工,广东,36.59,0.21,0.85,50438.46,49604.96,67.4,8595.96,1.01,0.649,5.41,4.39,20170331,17130.89,2.02,2.84,8.01,32.34,13.51,39795
300415,伊之密,专用机械,广东,59.64,1.59,2.4,175804.55,93119.18,37980.59,22821.45,0.95,0.308,3.36,7.3,20150123,27998.66,1.17,15.13,40.22,36.22,7.23,15284
002857,三晖电气,电器仪表,河南,69.56,0.2,0.8,32269.19,28367.94,987.67,604.82,0.08,0.501,3.84,9.08,20170323,14541.25,1.82,-4.28,4.0,46.98,19.96,36974
300631,久吾高科,环境保护,江苏,60.59,0.16,0.64,57826.46,42571.4,11932.55,162.5,0.03,0.671,8.16,4.98,20170323,31856.83,4.97,5.09,-14.37,42.92,17.51,29753
300407,凯发电气,电气设备,天津,44.9,1.35,2.72,176017.69,147034.16,17278.06,12315.63,0.45,0.356,3.22,6.62,20141203,44569.01,1.64,0.57,81.02,42.37,33.01,10287
603636,DR南威软,软件服务,福建,210.31,0.43,4.07,131255.94,101228.15,11595.15,46847.09,1.15,0.127,2.17,12.26,20141230,32861.94,0.81,36.67,-18.48,32.47,11.0,5241
600340,华夏幸福,区域地产,河北,16.52,29.55,29.55,24990332.0,22356118.0,267012.97,588225.88,1.99,2.22,8.58,4.23,20031230,1417623.88,4.8,40.4,35.22,33.03,12.06,52402
